OrderID,OrderLineNo,OrderDate,ShipDate,ShipMode,OrderStatus,PaymentMethod,Quantity,Discount,LineTotal
ORD-1077,3,01-02-2025,04-02-2025,Standard Class,Processing,Bank Transfer,10,0,8704
ORD-1078,3,08-07-2025,15-07-2025,Standard Class,Processing,Bank Transfer,5,0,1241.5
ORD-1079,1,09-12-2025,18-12-2025,Same Day,Returned,Credit Card,5,0,1797.85
ORD-1080,2,26-03-2026,29-03-2026,Standard Class,Delivered,Bank Transfer,5,0,4048.35
ORD-1081,3,18-05-2025,27-05-2025,First Class,Delivered,Bank Transfer,4,0.1,939.64
ORD-1082,2,14-10-2024,16-10-2024,Same Day,Cancelled,PayPal,6,0.1,1340.82
ORD-1083,3,09-08-2025,12-08-2025,First Class,Delivered,Bank Transfer,10,0.05,9512.64
ORD-1084,2,28-11-2025,07-12-2025,First Class,Shipped,PayPal,2,0.05,576.69
ORD-1085,2,09-04-2026,18-04-2026,First Class,Shipped,Debit Card,9,0,5846.04
ORD-1086,3,01-05-2025,04-05-2025,Standard Class,Shipped,Bank Transfer,10,0,2735.1
ORD-1087,3,17-11-2025,28-11-2025,First Class,Processing,Debit Card,10,0.15,552.59
ORD-1088,2,20-10-2025,31-10-2025,Standard Class,Processing,Store Credit,5,0.2,2598.24
ORD-1089,2,07-03-2025,08-03-2025,Standard Class,Delivered,Store Credit,1,0,605.91
ORD-1090,3,19-10-2024,29-10-2024,Standard Class,Cancelled,Store Credit,9,0.2,3079.08
ORD-1091,2,16-09-2024,25-09-2024,Standard Class,Processing,Credit Card,3,0,697.62
ORD-1092,3,24-07-2026,28-07-2026,Second Class,Processing,PayPal,8,0.05,3000.4
ORD-1093,3,12-11-2025,23-11-2025,First Class,Delivered,PayPal,10,0,1632.9
ORD-1094,3,22-04-2026,27-04-2026,Second Class,Processing,Credit Card,5,0.15,4381.84
ORD-1095,3,07-02-2025,12-02-2025,Standard Class,Processing,Store Credit,7,0,5183.78
ORD-1096,3,02-01-2026,05-01-2026,Same Day,Returned,PayPal,9,0,3553.11
ORD-1097,2,15-05-2026,19-05-2026,Second Class,Shipped,Debit Card,6,0.2,3586.99
ORD-1098,3,07-03-2025,16-03-2025,Standard Class,Processing,Store Credit,9,0.2,4676.83
ORD-1099,3,18-11-2024,21-11-2024,Second Class,Cancelled,Credit Card,3,0.2,121.73
ORD-1100,3,11-02-2026,19-02-2026,Same Day,Shipped,Store Credit,10,0,7472.9
ORD-1101,3,20-05-2026,24-05-2026,Same Day,Cancelled,PayPal,6,0.15,3090.14
ORD-1102,3,12-03-2026,15-03-2026,Second Class,Processing,Credit Card,4,0.2,1368.48
ORD-1103,3,10-03-2026,19-03-2026,Standard Class,Processing,Credit Card,2,0.15,1703.98
ORD-1104,2,13-10-2025,20-10-2025,First Class,Delivered,Bank Transfer,2,0,15.16
ORD-1105,2,26-11-2025,30-11-2025,Second Class,Delivered,PayPal,7,0,7009.31
ORD-1106,2,11-12-2025,14-12-2025,Same Day,Shipped,Bank Transfer,3,0,1505.55
ORD-1107,1,10-01-2026,11-01-2026,Same Day,Delivered,PayPal,5,0,1546.95
ORD-1108,3,23-11-2025,27-11-2025,Same Day,Delivered,Credit Card,7,0.15,3605.16
ORD-1109,1,31-07-2026,11-08-2026,Second Class,Processing,Bank Transfer,9,0.1,410.83
ORD-1110,3,06-02-2025,16-02-2025,Standard Class,Returned,PayPal,7,0,2165.73
ORD-1111,3,02-06-2025,09-06-2025,Same Day,Processing,PayPal,8,0,9372.56
ORD-1112,3,11-05-2025,17-05-2025,Standard Class,Returned,PayPal,4,0.15,1625.06
ORD-1113,3,26-08-2024,06-09-2024,Same Day,Cancelled,Debit Card,3,0.2,331.92
ORD-1114,1,31-12-2025,01-01-2026,Second Class,Delivered,PayPal,5,0,3247.8
ORD-1115,3,23-09-2025,28-09-2025,Second Class,Processing,PayPal,1,0.2,342.12
ORD-1116,2,17-12-2024,22-12-2024,Same Day,Cancelled,Bank Transfer,2,0.2,941.49
ORD-1117,3,14-01-2026,26-01-2026,First Class,Delivered,Bank Transfer,8,0,5961.28
ORD-1118,1,10-01-2025,19-01-2025,Standard Class,Processing,PayPal,5,0,1241.5
ORD-1119,2,26-08-2025,29-08-2025,Standard Class,Processing,Store Credit,8,0,7968.56
ORD-1120,3,25-02-2026,27-02-2026,Second Class,Delivered,Debit Card,7,0,53.06
ORD-1121,1,25-05-2026,26-05-2026,First Class,Processing,Bank Transfer,3,0,1681.98
ORD-1122,2,05-12-2025,16-12-2025,Same Day,Delivered,Store Credit,8,0,1106.4
ORD-1123,1,06-08-2025,12-08-2025,Standard Class,Shipped,Bank Transfer,5,0,5857.85
ORD-1124,2,11-04-2026,16-04-2026,Second Class,Returned,PayPal,5,0.15,693.98
ORD-1125,1,07-04-2026,09-04-2026,Same Day,Shipped,Bank Transfer,3,0.2,619.03
ORD-1126,1,03-05-2026,14-05-2026,First Class,Processing,Debit Card,6,0.15,497.71
ORD-1127,1,11-12-2024,20-12-2024,Second Class,Shipped,Bank Transfer,4,0,2998.68
ORD-1128,3,11-10-2024,19-10-2024,Standard Class,Delivered,PayPal,9,0,6725.61
ORD-1129,2,02-11-2024,11-11-2024,Standard Class,Shipped,PayPal,7,0.2,1531.32
ORD-1130,1,06-02-2025,17-02-2025,Second Class,Shipped,Bank Transfer,9,0,5846.04
ORD-1131,2,14-03-2026,16-03-2026,Second Class,Shipped,PayPal,9,0,2321.37
ORD-1132,3,09-02-2026,11-02-2026,First Class,Shipped,PayPal,5,0,2389.8
ORD-1133,1,12-12-2024,22-12-2024,First Class,Returned,Credit Card,10,0,9636.7
ORD-1134,3,10-12-2025,21-12-2025,Same Day,Returned,Credit Card,4,0.2,3376.22
ORD-1135,1,03-04-2025,14-04-2025,Same Day,Processing,Bank Transfer,5,0.05,4134.4
ORD-1136,2,05-10-2024,13-10-2024,Second Class,Processing,Store Credit,7,0.05,2288.4
ORD-1137,1,17-04-2025,29-04-2025,First Class,Returned,Store Credit,6,0.05,495.22
ORD-1138,1,27-01-2026,29-01-2026,Second Class,Delivered,Credit Card,5,0.05,412.68
ORD-1139,2,13-03-2025,17-03-2025,First Class,Shipped,Debit Card,3,0.2,391.9
ORD-1140,1,28-02-2026,05-03-2026,Same Day,Returned,Bank Transfer,8,0,3421.2
ORD-1141,2,31-03-2025,01-04-2025,Same Day,Processing,Store Credit,1,0,809.67
ORD-1142,2,07-02-2025,10-02-2025,Same Day,Processing,Credit Card,5,0.15,2443.71
ORD-1143,1,03-03-2025,09-03-2025,Same Day,Returned,Bank Transfer,9,0,5505.12
ORD-1144,2,15-04-2026,18-04-2026,First Class,Returned,PayPal,2,0.05,14.4
ORD-1145,1,10-07-2025,19-07-2025,Second Class,Processing,Bank Transfer,1,0,232.54
ORD-1146,1,26-04-2026,02-05-2026,Same Day,Returned,PayPal,10,0,6642.6
ORD-1147,2,01-10-2025,13-10-2025,Standard Class,Processing,PayPal,10,0,7451.6
ORD-1148,2,22-06-2026,04-07-2026,First Class,Returned,Store Credit,1,0.1,289.57
ORD-1149,3,22-09-2024,25-09-2024,Same Day,Shipped,Debit Card,9,0.15,4201.53
ORD-1150,2,13-05-2026,17-05-2026,Same Day,Shipped,Bank Transfer,1,0.05,754.05
ORD-1151,1,01-08-2025,13-08-2025,Second Class,Returned,PayPal,1,0.15,688.22
ORD-1152,3,27-04-2026,03-05-2026,First Class,Returned,PayPal,3,0.05,2856.67
ORD-1153,1,07-05-2025,17-05-2025,First Class,Returned,PayPal,8,0,9122.4
ORD-1154,3,07-03-2025,19-03-2025,Same Day,Processing,Bank Transfer,4,0.15,2060.09
ORD-1155,3,09-09-2024,14-09-2024,Same Day,Cancelled,PayPal,2,0.1,1855.84
ORD-1156,2,17-04-2026,29-04-2026,First Class,Cancelled,Debit Card,2,0,719.14
ORD-1157,1,09-11-2024,18-11-2024,Second Class,Shipped,Credit Card,5,0,1406.8
ORD-1158,1,25-12-2024,05-01-2025,Same Day,Processing,Bank Transfer,4,0,421.28
ORD-1159,2,27-05-2025,28-05-2025,Same Day,Cancelled,Debit Card,9,0,5045.94
ORD-1160,3,21-09-2025,23-09-2025,Standard Class,Shipped,Bank Transfer,10,0,868.8
ORD-1161,2,25-05-2026,02-06-2026,Standard Class,Delivered,PayPal,3,0.15,1445.9
ORD-1162,3,01-07-2025,06-07-2025,Same Day,Shipped,Store Credit,8,0.15,344.9
ORD-1163,2,20-03-2025,26-03-2025,First Class,Shipped,Credit Card,3,0.15,19.33
ORD-1164,3,06-01-2026,09-01-2026,Same Day,Cancelled,Store Credit,10,0.2,4342.64
ORD-1165,2,21-02-2026,24-02-2026,Second Class,Delivered,PayPal,3,0.05,3006.95
ORD-1166,3,23-07-2025,29-07-2025,Standard Class,Processing,PayPal,5,0.1,1365.84
ORD-1167,2,05-11-2025,13-11-2025,First Class,Delivered,PayPal,5,0,1517.6
ORD-1168,2,08-12-2024,11-12-2024,First Class,Cancelled,Store Credit,8,0,2475.12
ORD-1169,1,07-11-2025,11-11-2025,Same Day,Returned,PayPal,10,0.2,520.08
ORD-1170,1,04-08-2024,05-08-2024,Second Class,Shipped,PayPal,9,0.1,2089.23
ORD-1171,1,16-02-2025,28-02-2025,Same Day,Delivered,Bank Transfer,10,0.05,9462.67
ORD-1172,2,08-02-2026,18-02-2026,First Class,Delivered,Bank Transfer,1,0.1,384.88
ORD-1173,2,02-12-2024,12-12-2024,First Class,Delivered,Store Credit,2,0,562.72
ORD-1174,1,10-02-2026,11-02-2026,Second Class,Cancelled,PayPal,5,0.05,2693.34
ORD-1175,3,24-07-2025,31-07-2025,Second Class,Processing,Credit Card,2,0.15,1693.32
ORD-1176,1,10-02-2026,22-02-2026,Standard Class,Processing,Bank Transfer,4,0.2,3083.74
ORD-1177,1,04-10-2024,13-10-2024,Second Class,Cancelled,PayPal,7,0.2,3075.63
ORD-1178,1,24-10-2025,25-10-2025,Second Class,Shipped,Credit Card,7,0.1,47.75
ORD-1179,3,07-11-2025,17-11-2025,Standard Class,Cancelled,Bank Transfer,1,0,50.72
ORD-1180,1,22-05-2025,25-05-2025,First Class,Returned,Store Credit,9,0,8673.03
ORD-1181,3,07-07-2026,12-07-2026,Second Class,Cancelled,PayPal,3,0.15,717.47
ORD-1182,2,08-05-2025,19-05-2025,Standard Class,Processing,Bank Transfer,7,0.1,3853.58
ORD-1183,2,28-08-2024,04-09-2024,Second Class,Returned,Bank Transfer,3,0,260.64
ORD-1184,2,24-12-2024,05-01-2025,Standard Class,Returned,Bank Transfer,3,0.2,1379.98
ORD-1185,1,30-04-2025,07-05-2025,First Class,Delivered,Bank Transfer,4,0,4124.08
ORD-1186,3,11-08-2024,12-08-2024,Standard Class,Delivered,Debit Card,5,0.05,5011.58
ORD-1187,2,24-03-2025,01-04-2025,First Class,Delivered,Debit Card,4,0.2,1757.5
ORD-1188,1,02-04-2026,06-04-2026,Same Day,Shipped,Store Credit,10,0.15,6706.41
ORD-1189,2,18-12-2024,26-12-2024,First Class,Processing,PayPal,9,0.15,8723.29
ORD-1190,2,08-12-2025,10-12-2025,Second Class,Processing,PayPal,8,0.2,5570.56
ORD-1191,2,02-11-2025,14-11-2025,Same Day,Processing,Debit Card,3,0,414.9
ORD-1192,3,29-01-2025,08-02-2025,First Class,Processing,Bank Transfer,4,0.05,2831.61
ORD-1193,1,20-12-2025,23-12-2025,Same Day,Shipped,Store Credit,6,0,4733.94
ORD-1194,1,09-04-2025,11-04-2025,Same Day,Shipped,Debit Card,1,0.2,489.34
ORD-1195,2,03-11-2024,07-11-2024,Standard Class,Returned,Store Credit,9,0.05,2338
ORD-1196,2,08-05-2025,09-05-2025,Standard Class,Delivered,Store Credit,9,0.1,5998.37
ORD-1197,1,05-10-2025,14-10-2025,Standard Class,Delivered,Store Credit,7,0.2,5396.55
ORD-1198,2,01-12-2024,07-12-2024,Standard Class,Processing,Bank Transfer,5,0.2,1214.08
ORD-1199,3,26-03-2026,31-03-2026,Standard Class,Delivered,Bank Transfer,2,0.15,1349.36
ORD-1200,1,06-03-2025,07-03-2025,Standard Class,Cancelled,Bank Transfer,1,0.15,138.8
ORD-1201,1,01-03-2025,10-03-2025,Same Day,Processing,Credit Card,1,0,542.83
ORD-1202,1,15-01-2026,18-01-2026,Second Class,Cancelled,Credit Card,6,0,3363.96
ORD-1203,3,10-10-2025,20-10-2025,First Class,Cancelled,Debit Card,7,0.15,1657.61
ORD-1204,1,04-04-2025,05-04-2025,Standard Class,Processing,Store Credit,2,0.05,1043.52
ORD-1205,2,12-05-2026,13-05-2026,Same Day,Shipped,PayPal,5,0.2,202.88
ORD-1206,2,29-07-2026,09-08-2026,Standard Class,Returned,PayPal,10,0.15,1387.96
ORD-1207,3,08-04-2025,13-04-2025,Second Class,Cancelled,PayPal,3,0.05,779.33
ORD-1208,2,21-05-2026,26-05-2026,Standard Class,Shipped,Credit Card,8,0,858.88
ORD-1209,2,20-04-2025,22-04-2025,Standard Class,Returned,Store Credit,1,0,248.3
ORD-1210,1,16-12-2024,21-12-2024,Second Class,Returned,Store Credit,7,0.05,3913.06
ORD-1211,2,25-06-2026,28-06-2026,Same Day,Shipped,Credit Card,5,0,2803.3
ORD-1212,1,03-06-2026,08-06-2026,First Class,Processing,Debit Card,8,0.2,1589.12
ORD-1213,2,22-05-2025,30-05-2025,Standard Class,Cancelled,PayPal,2,0,2158.56
ORD-1214,3,14-01-2025,22-01-2025,Second Class,Processing,PayPal,6,0.05,930.75
ORD-1215,2,14-01-2026,20-01-2026,First Class,Cancelled,Store Credit,3,0.05,980.74
ORD-1216,3,04-11-2024,11-11-2024,Second Class,Returned,Store Credit,6,0,521.28
ORD-1217,1,19-01-2026,31-01-2026,Same Day,Processing,Credit Card,8,0.15,3812.49
ORD-1218,2,06-10-2025,17-10-2025,Second Class,Cancelled,Bank Transfer,5,0,2803.3
ORD-1219,3,02-12-2024,12-12-2024,Same Day,Returned,Credit Card,7,0.1,6275.24
ORD-1220,3,25-04-2025,27-04-2025,First Class,Shipped,Store Credit,4,0.15,1170.01
ORD-1221,1,19-11-2025,25-11-2025,Standard Class,Processing,Debit Card,7,0,5556.18
ORD-1222,2,28-08-2024,05-09-2024,Second Class,Processing,Credit Card,6,0.05,4497.24
ORD-1223,3,03-05-2026,05-05-2026,Second Class,Processing,PayPal,2,0.2,171.78
ORD-1224,2,03-02-2025,12-02-2025,Standard Class,Cancelled,Bank Transfer,8,0,5314.08
ORD-1225,2,26-08-2025,07-09-2025,Standard Class,Shipped,Debit Card,2,0,1299.12
ORD-1226,2,05-09-2024,11-09-2024,Second Class,Cancelled,Debit Card,9,0.05,2231.64
ORD-1227,3,29-07-2026,05-08-2026,Second Class,Cancelled,Store Credit,1,0.15,637.22
ORD-1228,3,27-11-2025,01-12-2025,Standard Class,Returned,Credit Card,5,0.2,653.16
ORD-1229,2,21-11-2025,25-11-2025,Same Day,Returned,PayPal,8,0,2088.08
ORD-1230,2,15-08-2024,25-08-2024,Same Day,Returned,Debit Card,2,0,326.58
ORD-1231,3,18-12-2025,28-12-2025,Second Class,Processing,Credit Card,10,0,2734.5
ORD-1232,2,01-06-2025,07-06-2025,Same Day,Returned,Debit Card,3,0.1,1635.96
ORD-1233,3,05-05-2025,13-05-2025,Second Class,Returned,Debit Card,9,0.15,1249.17
ORD-1234,1,05-09-2025,11-09-2025,First Class,Delivered,Bank Transfer,8,0.1,2588.9
ORD-1235,2,13-07-2025,22-07-2025,Same Day,Cancelled,Bank Transfer,9,0.15,1778.93
ORD-1236,1,20-11-2024,30-11-2024,First Class,Delivered,PayPal,1,0.2,863.42
ORD-1237,2,22-12-2025,30-12-2025,Standard Class,Returned,Credit Card,10,0.15,8191.19
ORD-1238,3,04-11-2025,13-11-2025,Same Day,Returned,Debit Card,1,0.2,912.24
ORD-1239,2,09-03-2025,14-03-2025,First Class,Delivered,Bank Transfer,1,0.05,101.99
ORD-1240,2,27-11-2025,01-12-2025,Same Day,Shipped,Store Credit,10,0.15,9692.55
ORD-1241,3,28-11-2025,29-11-2025,First Class,Returned,Store Credit,10,0,5428.3
ORD-1242,3,14-02-2025,19-02-2025,Standard Class,Shipped,Bank Transfer,10,0,868.8
ORD-1243,1,17-10-2025,29-10-2025,First Class,Shipped,Bank Transfer,3,0,22.74
ORD-1244,2,09-11-2024,20-11-2024,Standard Class,Delivered,Bank Transfer,7,0.05,1818.84
ORD-1245,3,31-03-2026,08-04-2026,Standard Class,Delivered,Bank Transfer,8,0,6311.92
ORD-1246,1,16-10-2024,18-10-2024,Same Day,Shipped,Bank Transfer,9,0.05,6331.62
ORD-1247,1,08-01-2026,14-01-2026,Same Day,Processing,Credit Card,9,0.1,703.73
ORD-1248,1,26-10-2024,27-10-2024,Same Day,Cancelled,Credit Card,2,0.2,171.78
ORD-1249,2,23-10-2024,03-11-2024,Standard Class,Processing,PayPal,5,0,1162.7
ORD-1250,2,17-10-2024,18-10-2024,Second Class,Cancelled,Credit Card,7,0.15,4446.38
ORD-1251,1,24-12-2024,26-12-2024,Same Day,Delivered,Credit Card,3,0.1,506.66
ORD-1252,1,25-12-2024,01-01-2025,Second Class,Cancelled,Credit Card,3,0.05,2123.71
ORD-1253,1,09-02-2025,14-02-2025,Second Class,Delivered,Store Credit,3,0.05,305.98
ORD-1254,1,18-08-2025,26-08-2025,Second Class,Cancelled,Store Credit,6,0.15,957.02
ORD-1255,1,26-12-2024,28-12-2024,Same Day,Processing,Bank Transfer,2,0,1992.14
ORD-1256,3,28-12-2025,02-01-2026,First Class,Delivered,PayPal,2,0,1085.66
ORD-1257,3,04-03-2025,16-03-2025,Standard Class,Shipped,Bank Transfer,7,0,8200.99
ORD-1258,3,29-08-2024,09-09-2024,Standard Class,Processing,PayPal,10,0,3217.4
ORD-1259,1,29-07-2025,04-08-2025,Same Day,Delivered,Credit Card,9,0.15,1249.17
ORD-1260,2,30-12-2024,03-01-2025,First Class,Returned,Bank Transfer,1,0,649.56
ORD-1261,3,14-06-2026,25-06-2026,Second Class,Processing,Credit Card,9,0.1,2787.37
ORD-1262,2,30-03-2025,02-04-2025,Standard Class,Processing,Bank Transfer,9,0,9495.63
ORD-1263,3,03-08-2024,10-08-2024,Standard Class,Processing,Debit Card,2,0.05,1162.19
ORD-1264,2,04-12-2025,16-12-2025,First Class,Returned,Store Credit,1,0,187.65
ORD-1265,1,25-05-2026,06-06-2026,Standard Class,Processing,Bank Transfer,5,0.15,1184.01
ORD-1266,1,03-04-2026,15-04-2026,Same Day,Cancelled,Store Credit,10,0.15,9958.34
ORD-1267,1,03-12-2025,09-12-2025,Standard Class,Shipped,Store Credit,3,0,1835.04
ORD-1268,2,18-11-2024,22-11-2024,Same Day,Shipped,Debit Card,1,0.05,131.38
ORD-1269,2,05-10-2024,09-10-2024,First Class,Processing,Credit Card,6,0,6186.12
ORD-1270,3,10-08-2025,13-08-2025,Standard Class,Cancelled,Credit Card,4,0.2,2391.33
ORD-1271,2,11-01-2026,17-01-2026,Standard Class,Processing,Debit Card,2,0.1,1059.17
ORD-1272,2,14-10-2024,26-10-2024,First Class,Returned,Bank Transfer,10,0,7937.4
ORD-1273,1,04-02-2025,07-02-2025,Second Class,Returned,PayPal,1,0.05,521.76
ORD-1274,3,16-01-2025,22-01-2025,Same Day,Processing,Credit Card,1,0.2,401.48
ORD-1275,3,24-07-2026,01-08-2026,First Class,Delivered,Credit Card,1,0,1171.57
ORD-1276,3,05-03-2025,17-03-2025,Standard Class,Returned,Credit Card,6,0.05,600.32
ORD-1277,1,06-07-2025,08-07-2025,Same Day,Shipped,Debit Card,10,0.1,4336.2
ORD-1278,2,12-10-2024,19-10-2024,First Class,Shipped,Credit Card,6,0,1222.44
ORD-1279,2,06-12-2024,09-12-2024,Same Day,Processing,Bank Transfer,2,0,963.6
ORD-1280,2,29-08-2024,06-09-2024,Standard Class,Delivered,Debit Card,5,0.05,4577.43
ORD-1281,1,01-03-2025,05-03-2025,Second Class,Processing,Bank Transfer,6,0,3635.46
ORD-1282,2,09-03-2026,14-03-2026,Same Day,Returned,Store Credit,3,0,1835.04
ORD-1283,1,17-03-2025,20-03-2025,Second Class,Shipped,Debit Card,2,0,214.72
ORD-1284,1,22-01-2026,01-02-2026,Standard Class,Delivered,Debit Card,10,0,7472.9
